Stroke:

14.29,38.51

14.29,38.45

14.31,38.39

14.34,38.33

14.36,38.31

14.38,38.32

14.38,38.27

14.39,38.29

14.41,38.3

14.44,38.35

14.47,38.39

14.47,38.45

14.46,38.51

14.46,38.57

14.45,38.62

14.44,38.67

14.43,38.73

14.39,38.79

14.35,38.84

14.32,38.88

14.28,38.91

14.24,38.93

14.23,38.93

14.22,38.92

14.2,38.88

14.15,38.81

14.13,38.72

14.11,38.63

14.11,38.53

14.13,38.45

14.15,38.4

14.18,38.36

14.22,38.33

14.25,38.31

14.27,38.31

14.35,38.36

14.38,38.39

14.41,38.45

14.43,38.52

14.44,38.62

14.42,38.7

14.41,38.76

14.38,38.83

14.36,38.88

14.32,38.94

14.27,38.97

14.25,38.99

14.23,39

14.22,39

14.19,38.95

14.17,38.89

14.15,38.82

14.14,38.72

14.15,38.66

14.18,38.59

14.22,38.55

14.25,38.53

14.27,38.52

14.3,38.53

14.39,38.64

14.4,38.66

14.4,38.71

14.39,38.72

14.38,38.73

14.35,38.74

14.32,38.75

14.27,38.75

14.23,38.74

14.17,38.71

14.15,38.63

14.18,38.54

14.21,38.52

14.25,38.49

14.31,38.48

Stroke:

14.67,36.34

14.68,36.43

14.69,36.54

14.7,36.66

14.71,36.78

14.73,36.95

14.75,37.11

14.75,37.31

14.74,37.46

14.73,37.61

14.72,37.74

14.71,37.89

14.68,38.02

14.66,38.15

14.65,38.28

14.63,38.4

14.61,38.49

14.62,38.58

14.6,38.69

14.6,38.75

14.6,38.79

14.6,38.81

14.6,38.83

14.6,38.84

14.6,38.85

14.6,38.84

14.6,38.84

14.59,38.84

14.6,38.83

14.59,38.83

14.58,38.79

14.58,38.78

14.58,38.79

14.58,38.77

14.57,38.77

Stroke:

16.87,40.08

16.87,40.06

16.86,40.04

16.86,40.01

16.87,39.95

16.89,39.88

16.91,39.83

16.94,39.74

16.99,39.7

17.01,39.69

17.01,39.69

17.02,39.69

17.03,39.7

17.03,39.71

17.03,39.72

17.03,39.75

17.03,39.78

17.04,39.82

17.04,39.86

17.03,39.92

17.01,39.99

16.99,40.06

16.96,40.11

16.92,40.17

16.91,40.19

16.88,40.2

16.87,40.2

16.85,40.19

16.83,40.16

16.8,40.12

16.78,40.07

16.78,40.03

16.79,39.96

16.83,39.87

16.87,39.8

16.91,39.75

16.94,39.71

16.98,39.69

17,39.69

17,39.7

17.01,39.73

17,39.77

17.01,39.84

17.01,39.9

16.99,39.97

16.97,40.02

16.95,40.05

16.92,40.09

16.87,40.12

16.84,40.15

16.82,40.15

16.8,40.13

16.78,40.09

16.77,40.04

16.75,39.97

16.74,39.84

16.73,39.76

16.73,39.73

16.72,39.71

16.72,39.69

16.73,39.69

16.73,39.69

16.73,39.69

16.73,39.71

16.74,39.73

16.74,39.76

16.73,39.79

16.73,39.81

16.72,39.84

16.7,39.85

16.69,39.86

16.67,39.86

16.64,39.87

16.64,39.86

16.68,39.86

16.72,39.82

16.76,39.74

Stroke:

17.36,37.34

17.31,37.55

17.3,37.7

17.3,37.84

17.29,38

17.3,38.38

17.28,38.57

17.26,38.76

17.25,38.94

17.25,39.13

17.25,39.29

17.25,39.43

17.27,39.56

17.27,39.69
